fuente,url,titulo,fecha_publicacion,texto
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sucesos/2025-02-15/La-busqueda-del-desaparecido-en-Llanes-se-centra-entre-las-playas-de-La-Huelga-y-Toro_111739618463.html,La búsqueda del desaparecido en Llanes se centra entre las playas de La Huelga y Toró,2025-02-15,"Una treintena de efectivos de la Guardia Civil participan en el dispositivo

El operativo de búsqueda del hombre desaparecido desde la tarde del pasado martes en el entorno de la playa de Gulpiyuri, en Llanes, ha reanudado esta mañana las labores en la zona comprendida entre la playa de La Huelga y la de Toró, según informa la Guardia Civil.

El dispositivo, dirigido por la Benemérita y en el que participan unas sesenta personas, se ha reanudado a las 9:00 con medios terrestres, aéreos y marítimos para tratar de localizar al hombre, después de que el Centro de Coordinación de Emergencias del 112 Asturias recibiera una llamada de alerta de un familiar en la que comunicaba que no sabía nada del varón, de 39 años y residente en Cabezón de la Sal, desde la tarde del martes.

El operativo puesto en marcha esa misma noche permitió localizar el vehículo del hombre en el aparcamiento de la playa.

Como en días anteriores, una treintena de efectivos de la Guardia Civil participan en el dispositivo, que cuenta con el helicóptero de la Unidad Aérea con base en La Morgal, y la patrullera Río Esera del Servicio Marítimo Provincial.

Por tierra lo hacen guardias civiles de Seguridad Ciudadana, Seprona, Patrulla Fiscal Territorial y del Grupo Especial de Intervención en Montaña.

Con respecto a otras instituciones autonómicas o locales, públicas o privadas, el dispositivo cuenta con la participación de una veintena de efectivos, entre los que se incluyen el helicóptero de Bomberos de Asturias que lo hace de forma coordinada con el de la Guardia Civil, y por vía marítima el equipo de respuesta inmediata en emergencias de la Cruz Roja.

Por vía terrestre, se mantiene el apoyo de Bomberos de Llanes y de Cangas de Onís, voluntarios de Protección Civil y Guardería de Agentes Medioambientales."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-15/El-Principado-destaca-el-potencial-del-turismo-astronomico-en-el-medio-rural_111739616432.html,El Principado destaca el potencial del turismo astronómico en el medio rural,2025-02-15,"El MUJA acoge la I Jornadas de Divulgación Científica AstronoMUJA

Asturias avanza en su apuesta por el turismo astronómico con la celebración, este fin de semana, de las I Jornadas de Divulgación Científica AstronoMUJA, realizadas en colaboración con Allande Stars y financiadas por la Consejería de Presidencia, Reto Demográfico, Igualdad y Turismo.

La vicepresidenta del Principado, Gimena Llamedo, participa esta tarde en la iniciativa, que supone una oportunidad para dinamizar las zonas rurales y atraer visitantes interesados en la ciencia y la naturaleza a lo largo de todo el año.

El evento, que agotó las 150 plazas disponibles en pocas horas, forma parte del programa organizado por el Museo Jurásico de Asturias (MUJA) para conmemorar el Día Internacional de la Mujer y la Niña en la Ciencia.

Durante dos días, el público podrá explorar la relación entre la astronomía y la paleontología a través de talleres, charlas y observaciones del cielo nocturno.

Las actividades comienzan hoy con una experiencia única en la que la astrofísica y la historia de la Tierra se darán la mano. A partir de las 17:00 horas, las personas asistentes podrán descubrir el impacto de los meteoritos en el mundo de los dinosaurios de la mano de expertas como Laura Piñuela, investigadora del MUJA, quien explicará las consecuencias del impacto de Yucatán en los ecosistemas de la época.

También participarán la doctora Laura Hermoso y el doctor Xuan González, que ofrecerán una visión sobre los cuerpos menores del sistema solar y las misiones espaciales enfocadas en la defensa planetaria.

A las 20:00 horas, en los exteriores del MUJA, el equipo de Allande Stars guiará un recorrido por constelaciones, planetas y galaxias. Laura Hermoso y Lucía González, Mujer Rural de Asturias 2024, compartirán las historias sobre el cielo escritas por diferentes sociedades antiguas que han llegado a nuestros días.

El turismo astronómico está en auge y Asturias, con sus cielos oscuros y escasa contaminación lumínica, se sitúa como un enclave privilegiado para su desarrollo.

Esta actividad no solo atrae a aficionados a la observación del cosmos, sino que supone una oportunidad para impulsar la economía en zonas rurales, fomentando un turismo sostenible y ligado a la ciencia, subraya el Gobierno del Principado.

El Ejecutivo autonómico destaca su compromiso con este modelo de turismo a través de iniciativas como las Jornadas AstronoMUJA, que buscan combinar divulgación científica y experiencias en la naturaleza para enriquecer la oferta turística."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-15/Asturias-cierra-2024-con-un-aumento-de-los-accidentes-laborales-graves-y-mortales_111739611229.html,Asturias cierra 2024 con un aumento de los accidentes laborales graves y mortales,2025-02-15,"El Principado registró el pasado año 11.765 accidentes laborales con baja

Asturias registró el pasado año 11.765 accidentes laborales con baja, 320 menos que en 2023, lo que supone un descenso del 2,6 por ciento, aunque se produjo un aumento de los siniestros graves y mortales.

Según los datos publicados por la Sociedad Asturiana de Estudios Económicos e Industriales, el pasado año se registraron en la comunidad 21 accidentes mortales, uno más que en 2023 y la cifra más alta desde 2018.

Además, se contabilizaron 80 siniestros graves, once más que el ejercicio anterior y la mayor cifra desde 2019.

Asturias ha reducido las cifras globales de siniestralidad laboral por segundo año consecutivo, después de que en 2023 se redujera un 10,9 por ciento, hasta 12.085 accidentes, aunque también se produjo un incremento en el número de siniestros graves y mortales."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-nacional/2025-02-14/Las-comunidades-del-PP-frenan-el-plan-de-salud-mental-ante-las-criticas-de-los-psiquiatras_111739541356.html,Sanidad y las comunidades aprueban el primer plan antisuicidio con medidas de prevención,2025-02-14,"Las comunidades del PP frenan el plan de salud mental ante las críticas de los psiquiatras

El Consejo Interterritorial del Sistema Nacional de Salud (SNS), que reúne al Ministerio de Sanidad y las comunidades autónomas, ha aprobado este viernes el primer plan nacional para la prevención del suicidio, que se cobra unas 4.000 vidas al año.

El 'Plan de acción para la prevención del suicidio 2025-2027' es un compendio de 40 medidas repartidas en seis líneas estratégicas para abordar este problema de salud pública con un enfoque desde los determinantes sociales de la salud.

Apuesta por fomentar un código de riesgo y las autopsias psicológicas, limitar el acceso a medios letales o aplicar una perspectiva de género ante la enorme disparidad de cifras entre sexos (ellos se suicidan mucho más).

En este sentido, el vicepresidente del Consejo Interterritorial de Salud, consejero de Castilla y León y portavoz de las comunidades del PP, Alejandro Vázquez, ha explicado, en declaraciones en Valladolid al término de la reunión, que este plan ha salido adelante, aunque con la queja de las comunidades del PP por su falta de financiación, en la línea ""del yo invito y tu pagas"" del Gobierno.

Por su parte, la consejera madrileña, Fátima Matute, ha informado de que ""se han comprometido a incluir un punto específico de financiación"".

El 'Plan de acción para la prevención del suicidio 2025-2027' es un compendio de 40 medidas repartidas en seis líneas estratégicas para abordar este problema de salud pública.

El documento es fruto del trabajo conjunto del Comisionado, el Comité Institucional de las Comunidades Autónomas y sociedades científicas de Psiquiatría, Psicología, Epidemiología, Geriatría, Atención Primaria, asociaciones de supervivientes, organizaciones y otros expertos independientes, e involucra a sectores clave como la sanidad, educación, medios de comunicación, sistema judicial y servicios sociales.

El primer plan antisuicidio estará dotado con 18 millones de euros

El Consejo Interterritorial del Sistema Nacional de Salud (SNS), que reúne al Ministerio de Sanidad y las comunidades autónomas, ha aprobado este viernes el primer plan nacional para la prevención del suicidio, que contará con una dotación de 18 millones de euros, haya o no presupuestos generales del Estado.

Así lo ha resaltado en rueda de prensa la ministra de Sanidad, Mónica García, tras el Consejo Interterritorial que ha aprobado el 'Plan de acción para la prevención del suicidio 2025-2027', un compendio de 40 medidas repartidas en seis líneas estratégicas para abordar este problema de salud pública con un enfoque desde los determinantes sociales de la salud.

Para hacerlas realidad contará con una dotación de 18 millones de euros, independientes de los presupuestos generales del Estado, cuya distribución se detallará en otro Consejo Interterritorial.

El plan, el primero específico que se realiza para abordar el fenómeno del suicidio, apuesta por fomentar un código de riesgo y las autopsias psicológicas, limitar el acceso a medios letales o aplicar una perspectiva de género ante la enorme disparidad de cifras entre sexos (ellos se suicidan mucho más).

Hasta ahora, la prevención del suicidio siempre formaba parte de guías de práctica clínica y de planes de acción de salud mental, pero con este se atiende una demanda histórica de la sociedad civil de ""darle una entidad propia"" a la conducta suicida.

Entre todas sus medidas, Mónica García ha puesto en la creación del Observatorio para la prevención del suicidio, ""un espacio fundamental"" para recopilar y analizar ""datos rigurosos"" que puedan ayudar a entender mejor las causas y los factores de riesgo y a diseñar estrategias más efectivas, basadas en la mejor evidencia disponible.

También se va a implementar un sistema de vigilancia en salud mental dentro del sistema de vigilancia en salud pública, lo que significa que, por primera vez, la salud mental ""va a integrarse plenamente en los mecanismos de seguimiento y de alerta de la salud pública"" para permitir detectar tendencias y responder de una manera ""mucho más ágil y coordinada"".

Además, se va a mejorar la coordinación del teléfono 024, ""forzando"" su conexión con otros servicios asistenciales en las comunidades; para ello, se va a promover la creación de equipos de atención al riesgo suicida en los servicios de salud mental de las comunidades ""con capacidad de brindar atención telefónica y ofrecer apoyo inmediato y acompañamiento en la persona"".

Mónica García ha querido detenerse en las críticas que en los últimos días ha suscitado la perspectiva de género que se le da al plan, puesto que ellos se suicidan mucho más que ellas, aunque las mujeres lo intentan más.

Quejas que ""curiosamente"" proceden de ""quienes llevaban años quejándose de que nadie hablaba de los problemas de los hombres y ahora se indignan porque se hace desde una perspectiva que no les encaja: los hombres tienen peor salud, asumen más riesgos, se suicidan más y esto no es un hecho biológico, sino es fruto de una masculinidad que los empuja a descuidarse y a tomar más riesgos"".

""Decir esto no tiene nada que ver con el machismo, es como negar que el tabaco causa el cáncer"", ha zanjado.

Las comunidades del PP frenan el plan de salud mental ante las críticas de los psiquiatras

Las comunidades del PP han rechazado el 'Plan de acción de salud mental 2025-2027' del Ministerio de Sanidad ante las críticas que ha recibido por parte de expertos independientes y sociedades científicas de Psiquiatría, reticentes a la desprescripción de psicofármacos que plantea el documento.

Solo Cataluña, Castilla-La Mancha, Canarias, Asturias y Navarra han apoyado el citado plan, que aboga por una humanización del modelo de atención que va desde implantar un uso racional de psicofármacos y una mayor ""prescripción social"" a buscar alternativas a la institucionalización y la sujeción mecánica, y la regulación de la psicoterapia y la psicología clínica infantil, han informado a EFE fuentes del Consejo Interterritorial.

Pese a que comparten la necesidad del plan y el trabajo realizado por los técnicos, las comunidades populares consideran que el plan se debe seguir trabajando y no precipitar su aprobación para contar con el apoyo de los expertos.

El vicepresidente del Consejo Interterritorial de Salud, consejero de Castilla y León y portavoz de las comunidades del PP, Alejandro Vázquez, ha explicado que al inicio de la reunión han pedido a la ministra de Sanidad, Mónica García, que retirase el plan al no contar con el respaldo de las sociedades científicas ni con sus demandas, a lo que finalmente se ha visto forzada al no contar con el respaldo de las comunidades del PP ni del País Vasco, aunque el punto no se ha llegado a votar.

Por su parte, la consejera madrileña, Fátima Matute, ha dicho: ""Hemos retrasado la aprobación del plan porque había problemas en el fondo y en la forma. Concretamente, las sociedades científicas han puesto de manifiesto que se han enterado de este plan por la prensa, que además adolece de fallos técnicos que querrían trabajar"".

Al término de la reunión, la consejera ha reclamado una financiación específica para este plan y ha insistido en que no cuenta con el aval de las sociedades científicas.

La Sociedad Española de Psiquiatría y Salud Mental (Sepsm) se quejó, en una carta remitida a la comisionada de Salud Mental, Belén González, a la que ha tenido acceso EFE, de que el documento final, que no se les remitió, no recoge ningún incremento de profesionales como se les garantizó, sino todo lo contrario.

Pero sobre todo se queja de que aunque el texto introduce “el uso racional de psicofármacos”, mantiene el de “desprescripción”, con el “consiguiente estigma y perjuicio para las personas que requieren tratamientos farmacológicos a largo plazo”.

Otra de las medidas que no ha gustado, pero en este caso a los psicólogos, es que incorpora el diploma de Psicoterapia, que estos profesionales quieren abordar mejor con el comisionado por ser “de importancia capital para los usuarios del Sistema Nacional de Salud que necesiten un tratamiento psicoterapéutico”.

Y advierten de que, por ello, debe de basarse en “un alto nivel de formación, calidad y en los principios éticos que siempre deben regular a las profesiones sanitarias.”"
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-14/La-cineasta-Iciar-Bollain-considera-que-la-ultraderecha-busca-tergiversar-el-feminismo_111739563099.html,La cineasta Icíar Bollaín considera que la ultraderecha busca tergiversar el feminismo,2025-02-14,"La directora y guionista recibe el Galardón por la Igualdad de Izquierda Unida de Llanera

La cineasta Icíar Bollaín ha recibido esta tarde el IV Galardón por la Igualdad que otorga Izquierda Unida de Llanera. Ha dicho que en el cine hay que contar buenas historias y lo mejor posible.

Considera Icíar Bollaín que la ultraderecha busca tergiversar el feminismo.

Recuerda que éste, el feminismo, defiende que todos tengamos las mismas oportunidades."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-14/Anembe-apoya-las-medidas-del-Principado-para-controlar-los-focos-de-tuberculosis_111739561596.html,Anembe apoya las medidas del Principado para controlar los focos de tuberculosis,2025-02-14,"Aconseja que se frenen los movimientos de las reses a pastos que pueden comportar un riesgo

La Asociación Nacional de Especialistas en Medicina Bovina de España, Anembe, apoya las medidas del Principado para controlar los focos de tuberculosis bovina en Tineo. Va más allá y aconseja que se frenen los movimientos de las reses a pastos que pueden comportar un riesgo.

Juan Carlos González, ganadero y veterinario, presidente de Anembe, considera que ganado asturiano no debería desplazarse a pastar a territorios como Extremadura donde la prevalencia de la enfermedad es del 5%.

Cree González que ahora es el momento de hacer todo lo posible para evitar que la enfermedad se descontrole y considera necesarias las medias puestas en marcha por el Principado en Tineo.

Desde la distribución cárnica, se ve en la enfermedad un problema puntual. Así lo valora José Portas, CEO de Discarlux, empresa que compra cada año 500 vacas en Asturias para carne. Apuesta por cumplir la normativa y acotar zonas.

El presidente de Anembe advierte que si no se para la transmisión de la enfermedad ahora y Asturias pierde su estatus de libre de la tuberculosis bovina, revertir la situación puede llevar una década

Descarta riesgo para la población por el consumo y subraya que es un problema de cabaña. Pide a todos los implicados que remen en la misma dirección para solucionarlo.

Declaraciones realizadas en 'GastroMEAT, conversaciones carnívoras', una cita que reunió en Gijón / Xixón a referentes del mundo de la carne para compartir conocimientos, debatir sobre el sector y disfrutar de una experiencia gastronómica."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sucesos/2025-02-14/Los-equipos-reanudan-la-busqueda-del-cantabro-desaparecido-el-martes-en-la-zona-de-Gulpiyuri_111739521703.html,Finaliza sin éxito y por cuarto día la búsqueda del vecino de Cantabria desaparecido en la costa oriental,2025-02-14,"Más de 40 efectivos buscan al hombre por tierra, mar y aire

El operativo de búsqueda del hombre desaparecido desde la tarde del pasado martes en el entorno de la playa de Gulpiyuri, en Llanes, ha interrumpido las labores hasta mañana, a las 9 horas, después de haber ampliado la zona de búsqueda a lo largo del litoral oriental asturiano.

En la jornada de este viernes el rastreo por tierra, en el que participaron especialistas de montaña por lo escarpado de la zona, se extendió desde la playa de la Huelga hasta la playa de La Franca para tratar de localizar al hombre, cuyo operativo de búsqueda se puso en marcha el martes por la noche después de que el Centro de Coordinación de Emergencias del 112 Asturias recibiera una llamada de alerta.

En el aviso, un familiar comunicaba que no sabía nada del hombre, de 39 años y residente en Cabezón de la Sal, desde la tarde del martes.

El operativo puesto en marcha esa misma noche permitió localizar el vehículo del hombre en el aparcamiento de la playa.

El Servicio de Emergencias del Principado informa que el rastreo llevado a cabo este viernes ha finalizado y que a primera hora de mañana se reanudará de nuevo el dispositivo por tierra, mar y aire.

En lo que se refiere a los medios aéreos está previsto que, en torno a las 12:15 horas el helicóptero medicalizado del Servicio de Emergencias del Principado de Asturias (SEPA) realice el rastreo aéreo y por la tarde el vuelo lo hará la aeronave de la Guardia Civil.

Por mar se mantendrá también movilizado el equipo de respuesta inmediata de la Cruz Roja y durante la mañana estará en la zona la patrullera de la Guardia Civil.

Por tierra se mantienen movilizados efectivos de Bomberos del SEPA y voluntarios de la de Protección Civil de Llanes."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-14/Piden-una-unidad-multidisciplinar-en-Asturias-para-menores-con-cardiopatias-congenitas_111739559658.html,Piden una unidad multidisciplinar en Asturias para menores con cardiopatías congénitas,2025-02-14,"Una exposición conmemora el Día de Mundial de las Cardiopatías Congénitas

Hoy es el Día de Mundial de las Cardiopatías Congénitas. En Asturias, la Asociación de Padres y Amigos de Cardiopatías Congénitas (Apaci) atiende a 248 familias con esta problemática.

Demandan la creación de una unidad multidisciplinar en la región que atienda las necesidades de los niños y niñas con cardiopatía a lo largo de todas las fases de su crecimiento.

Una exposición en el Centro Social de Buenavista de Oviedo / Uviéu, titulada 'Cremalleras', muestra, a través de fotografías, ""las cicatrices, aunque éstas sean invisibles, que deja esta enfermedad crónica en niños, adolescentes y adultos"".

En las fotografías aparece Bruno, que con cuatro años ya le han puesto dos marcapasos. Dos cicatrices recorren en otra imagen el torso de Vega y otra foto muestra a Ángela, que logró ser mamá a pesar de sufrir una cardiopatía. Son tres de los 18 rostros de esta exposición, explica Ana Fernández, presidenta de Apaci.

Desde Apaci explican la necesidad de contar con una unidad multidisciplinar y transversal, para que hoy, con permiso de San Valentín, estos verdaderos corazones latan con fuerza."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-economia/2025-02-14/El-consorcio-vasco-liderado-por-Sidenor-compra-el-30-de-Talgo-por-155-millones-de-euros_111739557255.html,El consorcio vasco liderado por Sidenor compra el 30% de Talgo por 155 millones de euros,2025-02-14,"El episodio de la venta de Talgo comenzó hace casi año y medio

El consorcio vasco liderado por Sidenor compra el 30% de Talgo por 155 millones. En Sidenor participan varias entidades y el Gobierno vasco.

La compra de Talgo se encamina después de que el Ejecutivo frenara dos OPA lanzadas desde Polonia y la India.

El episodio de la venta de Talgo comenzó hace casi año y medio, cuando se interesó un grupo Húngaro, lo que se encontró con la oposición absoluta del Gobierno y del' escudo antiopas', en manos del Ministerio de Economía."
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-14/Asturias-contara-con-la-primera-ley-de-ciencia-autonomica-del-pais_111739538751.html,Asturias contará con la primera ley de ciencia autonómica del país,2025-02-14,"Está previsto que se apruebe en el pleno del próximo miércoles

La ley de ciencia recoge un aumento de los fondos autonómicos en I+D+i, y permitirá proteger por lo tanto la situación de los investigadores asturianos destaca Xabel Vegas, portavoz de IU-Convocatoria por Asturies en la Junta General.

La norma, recoge la creación de un observatorio asturiano de la innovación, para fomentar las políticas en este ámbito apunta Ana Puerto, diputada del PSOE en la Junta General."
