fuente,url,titulo,fecha_publicacion
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sucesos/2025-02-15/La-busqueda-del-desaparecido-en-Llanes-se-centra-entre-las-playas-de-La-Huelga-y-Toro_111739618463.html,La búsqueda del desaparecido en Llanes se centra entre las playas de La Huelga y Toró,2025-02-15
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-15/El-Principado-destaca-el-potencial-del-turismo-astronomico-en-el-medio-rural_111739616432.html,El Principado destaca el potencial del turismo astronómico en el medio rural,2025-02-15
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-15/Asturias-cierra-2024-con-un-aumento-de-los-accidentes-laborales-graves-y-mortales_111739611229.html,Asturias cierra 2024 con un aumento de los accidentes laborales graves y mortales,2025-02-15
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-nacional/2025-02-14/Las-comunidades-del-PP-frenan-el-plan-de-salud-mental-ante-las-criticas-de-los-psiquiatras_111739541356.html,Sanidad y las comunidades aprueban el primer plan antisuicidio con medidas de prevención,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-14/La-cineasta-Iciar-Bollain-considera-que-la-ultraderecha-busca-tergiversar-el-feminismo_111739563099.html,La cineasta Icíar Bollaín considera que la ultraderecha busca tergiversar el feminismo,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-14/Anembe-apoya-las-medidas-del-Principado-para-controlar-los-focos-de-tuberculosis_111739561596.html,Anembe apoya las medidas del Principado para controlar los focos de tuberculosis,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sucesos/2025-02-14/Los-equipos-reanudan-la-busqueda-del-cantabro-desaparecido-el-martes-en-la-zona-de-Gulpiyuri_111739521703.html,Finaliza sin éxito y por cuarto día la búsqueda del vecino de Cantabria desaparecido en la costa oriental,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-sociedad/2025-02-14/Piden-una-unidad-multidisciplinar-en-Asturias-para-menores-con-cardiopatias-congenitas_111739559658.html,Piden una unidad multidisciplinar en Asturias para menores con cardiopatías congénitas,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-economia/2025-02-14/El-consorcio-vasco-liderado-por-Sidenor-compra-el-30-de-Talgo-por-155-millones-de-euros_111739557255.html,El consorcio vasco liderado por Sidenor compra el 30% de Talgo por 155 millones de euros,2025-02-14
Radiotelevisión del Principado de Asturias,https://www.rtpa.es/noticias-asturias/2025-02-14/Asturias-contara-con-la-primera-ley-de-ciencia-autonomica-del-pais_111739538751.html,Asturias contará con la primera ley de ciencia autonómica del país,2025-02-14
